683,0,6,-82
684,0,8,-93
685,0,6,-140
686,11,86,46
687,0,12,-91
688,1,18,-62
689,0,7,-96
690,0,7,-9
691,1,34,-152
692,1,32,-10
693,2,26,-210
694,0,7,-97
695,0,7,-133
696,0,6,-82
697,0,6,-47
698,0,14,-85
699,0,6,-45
700,2,23,-31
701,3,33,-58
702,0,5,-146
703,4,48,-5
704,0,6,-74
705,5,61,95
706,2,36,-76
707,1,27,-187
708,0,4,-66
709,11,85,100
710,0,11,-89
711,0,7,-46
712,4,72,-67
713,1,14,-64
714,0,7,-73
715,2,34,-16
716,2,30,-72
717,0,6,-22
718,0,6,-2
719,1,30,-123
720,0,15,-68
721,0,13,-79
722,0,6,-47
723,1,21,41
724,1,20,-101
725,18,164,72
726,0,8,-78
727,0,5,-103
728,9,68,133
729,0,7,-37
730,0,6,-100
731,6,53,73
732,1,24,-179
733,2,39,-104
734,1,37,-93
735,0,15,-15
736,6,52,50
737,0,9,-105
738,0,7,-53
739,2,17,-7
740,0,8,-114
741,0,19,-157
742,3,40,-65
743,0,6,-104
744,1,35,-99
745,4,53,-61
746,0,7,-113
747,0,6,-140
748,2,23,-101
749,0,7,-46
750,1,20,-22
751,0,7,-83
752,9,101,-104
753,0,6,-140
754,0,6,-102
755,0,6,-52
756,0,6,-52
757,1,32,-84
758,9,147,-257
759,0,7,-103
760,1,25,-137
761,0,6,-103
762,6,65,-126
763,0,8,-49
764,0,7,-160
765,0,9,-139
766,0,7,-55
767,3,48,-133
768,2,37,126
769,2,34,-61
770,10,100,297
771,0,12,-55
772,0,8,-153
773,0,8,-106
774,0,6,-47
775,0,6,-100
776,0,6,-132
777,1,18,-25
778,0,7,-76
779,0,8,-6
780,1,19,-24
781,1,22,-182
